$GPGGA,113758.00,3816.41144545,N,11652.23383023,E,1,25,0.529,8.834,M,-9.385,M,0.000,0*6A
$GPGGA,113759.00,3816.41142528,N,11652.23384079,E,1,25,0.529,8.870,M,-9.385,M,0.000,0*6E
$GPGGA,113800.00,3816.41141753,N,11652.23387182,E,1,25,0.529,8.892,M,-9.385,M,0.000,0*6A
$GPGGA,113801.00,3816.41140046,N,11652.23385739,E,1,25,0.529,8.934,M,-9.385,M,0.000,0*60
$GPGGA,113802.00,3816.41140430,N,11652.23386967,E,1,25,0.529,8.973,M,-9.385,M,0.000,0*63
$GPGGA,113803.00,3816.41139884,N,11652.23386996,E,1,25,0.529,9.004,M,-9.385,M,0.000,0*69
$GPGGA,113804.00,3816.41140693,N,11652.23389985,E,1,25,0.529,9.032,M,-9.385,M,0.000,0*60
$GPGGA,113805.00,3816.41140965,N,11652.23392533,E,1,25,0.529,9.072,M,-9.385,M,0.000,0*68
$GPGGA,113806.00,3816.41142104,N,11652.23391121,E,1,25,0.529,9.115,M,-9.385,M,0.000,0*62
$GPGGA,113807.00,3816.41144529,N,11652.23389207,E,1,25,0.529,9.084,M,-9.385,M,0.000,0*69
$GPGGA,113808.00,3816.41144974,N,11652.23386421,E,1,25,0.529,9.078,M,-9.385,M,0.000,0*6C
$GPGGA,113809.00,3816.41146443,N,11652.23386205,E,1,25,0.529,9.092,M,-9.385,M,0.000,0*62
$GPGGA,113810.00,3816.41145180,N,11652.23387974,E,1,25,0.529,9.087,M,-9.385,M,0.000,0*6B
$GPGGA,113811.00,3816.41147561,N,11652.23387598,E,1,25,0.529,9.059,M,-9.385,M,0.000,0*6E
$GPGGA,113812.00,3816.41148205,N,11652.23387890,E,1,25,0.529,9.089,M,-9.385,M,0.000,0*6F
$GPGGA,113813.00,3816.41148653,N,11652.23388909,E,1,25,0.529,9.081,M,-9.385,M,0.000,0*6F
$GPGGA,113814.00,3816.41149237,N,11652.23387574,E,1,25,0.529,9.080,M,-9.385,M,0.000,0*67
$GPGGA,113815.00,3816.41150832,N,11652.23388161,E,1,25,0.529,9.109,M,-9.385,M,0.000,0*6E
$GPGGA,113816.00,3816.41153566,N,11652.23387901,E,1,25,0.529,9.090,M,-9.385,M,0.000,0*62
$GPGGA,113817.00,3816.41156814,N,11652.23386616,E,1,25,0.528,9.082,M,-9.385,M,0.000,0*64
$GPGGA,113818.00,3816.41155390,N,11652.23385937,E,1,25,0.528,9.077,M,-9.385,M,0.000,0*6A
$GPGGA,113819.00,3816.41156512,N,11652.23384154,E,1,25,0.528,9.062,M,-9.385,M,0.000,0*6C
$GPGGA,113820.00,3816.41156724,N,11652.23383982,E,1,25,0.528,9.044,M,-9.385,M,0.000,0*61
$GPGGA,113821.00,3816.41154555,N,11652.23379004,E,1,25,0.528,8.973,M,-9.385,M,0.000,0*68
$GPGGA,113822.00,3816.41152368,N,11652.23379300,E,1,25,0.528,8.919,M,-9.385,M,0.000,0*6E
$GPGGA,113823.00,3816.41154126,N,11652.23380507,E,1,25,0.528,8.941,M,-9.385,M,0.000,0*6B
$GPGGA,113824.00,3816.41154877,N,11652.23381679,E,1,25,0.528,8.915,M,-9.385,M,0.000,0*6B
$GPGGA,113825.00,3816.41156093,N,11652.23382172,E,1,25,0.528,8.964,M,-9.385,M,0.000,0*63
$GPGGA,113826.00,3816.41156917,N,11652.23381247,E,1,25,0.528,8.971,M,-9.385,M,0.000,0*67
$GPGGA,113827.00,3816.41157837,N,11652.23380361,E,1,25,0.528,9.024,M,-9.385,M,0.000,0*68
